Index,Timestamp,Value
35,2024-06-26 09:36:00,99.0
38,2024-06-26 09:37:00,99.0
58,2024-06-26 09:42:00,98.0
62,2024-06-26 09:43:00,98.0
122,2024-06-26 09:57:00,97.0
125,2024-06-26 09:58:00,97.0
174,2024-06-26 10:11:00,96.0
259,2024-06-26 10:33:00,95.0
264,2024-06-26 10:34:00,95.0
290,2024-06-26 10:41:00,94.0
295,2024-06-26 10:42:00,94.0
342,2024-06-26 10:54:00,93.0
358,2024-06-26 10:58:00,92.0
363,2024-06-26 10:59:00,92.0
381,2024-06-26 11:04:00,91.0
397,2024-06-26 11:08:00,90.0
400,2024-06-26 11:08:00,90.0
456,2024-06-26 11:23:00,89.0
460,2024-06-26 11:24:00,89.0
485,2024-06-26 11:30:00,88.0
499,2024-06-26 11:34:00,87.0
508,2024-06-26 11:37:00,86.0
517,2024-06-26 11:39:00,85.0
520,2024-06-26 11:40:00,85.0
524,2024-06-26 11:41:00,84.0
528,2024-06-26 11:42:00,84.0
547,2024-06-26 11:47:00,83.0
549,2024-06-26 11:47:00,83.0
556,2024-06-26 11:49:00,82.0
558,2024-06-26 11:50:00,82.0
574,2024-06-26 11:54:00,81.0
582,2024-06-26 11:56:00,80.0
584,2024-06-26 11:56:00,80.0
594,2024-06-26 11:59:00,79.0
598,2024-06-26 12:00:00,79.0
602,2024-06-26 12:01:00,78.0
604,2024-06-26 12:01:00,78.0
618,2024-06-26 12:05:00,77.0
629,2024-06-26 12:12:00,75.0
632,2024-06-26 12:13:00,74.0
636,2024-06-26 12:14:00,74.0
647,2024-06-26 12:17:00,73.0
657,2024-06-26 12:20:00,72.0
669,2024-06-26 12:23:00,71.0
672,2024-06-26 12:23:00,71.0
677,2024-06-26 12:25:00,70.0
681,2024-06-26 12:26:00,70.0
690,2024-06-26 12:28:00,69.0
702,2024-06-26 12:31:00,68.0
712,2024-06-26 12:34:00,67.0
714,2024-06-26 12:34:00,67.0
725,2024-06-26 12:37:00,66.0
728,2024-06-26 12:38:00,66.0
740,2024-06-26 12:41:00,65.0
744,2024-06-26 12:42:00,65.0
760,2024-06-26 12:46:00,64.0
775,2024-06-26 12:50:00,63.0
780,2024-06-26 12:51:00,62.0
784,2024-06-26 12:52:00,62.0
794,2024-06-26 12:54:00,61.0
799,2024-06-26 12:56:00,61.0
816,2024-06-26 13:00:00,60.0
830,2024-06-26 13:04:00,59.0
838,2024-06-26 13:05:00,58.0
846,2024-06-26 13:07:00,58.0
862,2024-06-26 13:12:00,57.0
870,2024-06-26 13:13:00,56.0
884,2024-06-26 13:17:00,55.0
893,2024-06-26 13:19:00,54.0
911,2024-06-26 13:24:00,53.0
915,2024-06-26 13:25:00,53.0
923,2024-06-26 13:27:00,52.0
955,2024-06-26 13:35:00,51.0
961,2024-06-26 13:37:00,50.0
965,2024-06-26 13:37:00,50.0
972,2024-06-26 13:40:00,49.0
976,2024-06-26 13:41:00,49.0
982,2024-06-26 13:42:00,48.0
996,2024-06-26 13:46:00,47.0
1002,2024-06-26 13:48:00,46.0
1006,2024-06-26 13:48:00,46.0
1013,2024-06-26 13:51:00,45.0
1015,2024-06-26 13:51:00,45.0
1024,2024-06-26 13:54:00,44.0
1036,2024-06-26 13:57:00,43.0
1040,2024-06-26 13:58:00,43.0
1044,2024-06-26 13:59:00,42.0
1063,2024-06-26 14:04:00,41.0
1078,2024-06-26 15:24:00,89.0
1080,2024-06-26 15:29:00,88.0
1082,2024-06-26 15:30:00,87.0
1094,2024-06-26 15:33:00,86.0
1108,2024-06-26 15:37:00,85.0
1116,2024-06-26 15:39:00,84.0
1138,2024-06-26 15:44:00,83.0
1146,2024-06-26 15:46:00,82.0
1160,2024-06-26 15:50:00,81.0
1171,2024-06-26 15:53:00,80.0
1175,2024-06-26 15:54:00,80.0
1187,2024-06-26 15:57:00,79.0
1195,2024-06-26 15:59:00,78.0
1198,2024-06-26 15:59:00,78.0
1203,2024-06-26 16:04:00,77.0
1208,2024-06-26 16:05:00,76.0
1213,2024-06-26 16:08:00,75.0
1216,2024-06-26 16:08:00,75.0
1221,2024-06-26 16:10:00,74.0
1231,2024-06-26 16:13:00,73.0
1234,2024-06-26 16:13:00,73.0
1241,2024-06-26 16:17:00,72.0
1251,2024-06-26 16:20:00,71.0
1257,2024-06-26 16:22:00,70.0
1261,2024-06-26 16:24:00,70.0
1270,2024-06-26 16:29:00,69.0
1274,2024-06-26 16:30:00,68.0
1277,2024-06-26 16:30:00,68.0
1279,2024-06-26 16:33:00,67.0
1292,2024-06-26 16:37:00,66.0
1295,2024-06-26 16:38:00,66.0
1299,2024-06-26 16:43:00,65.0
1301,2024-06-26 16:44:00,64.0
1319,2024-06-26 16:49:00,63.0
1329,2024-06-26 16:51:00,62.0
1345,2024-06-26 16:56:00,61.0
1354,2024-06-26 16:59:00,60.0
1359,2024-06-26 17:03:00,59.0
1375,2024-06-26 17:09:00,57.0
1378,2024-06-26 17:09:00,57.0
1383,2024-06-26 17:12:00,56.0
1386,2024-06-26 17:12:00,56.0
1406,2024-06-26 17:17:00,55.0
1414,2024-06-26 17:23:00,53.0
1423,2024-06-26 17:26:00,52.0
1445,2024-06-26 17:32:00,51.0
1447,2024-06-26 17:33:00,50.0
1462,2024-06-26 17:37:00,49.0
1466,2024-06-26 17:38:00,49.0
1470,2024-06-26 17:39:00,48.0
1474,2024-06-26 17:40:00,48.0
1486,2024-06-26 17:43:00,47.0
1490,2024-06-26 17:44:00,47.0
1506,2024-06-26 17:49:00,46.0
1510,2024-06-26 17:49:00,46.0
1536,2024-06-26 17:56:00,45.0
1549,2024-06-26 18:00:00,44.0
1554,2024-06-26 18:01:00,44.0
1569,2024-06-26 18:08:00,43.0
1593,2024-06-26 18:14:00,42.0
1598,2024-06-26 18:15:00,42.0
1634,2024-06-26 18:25:00,41.0
1660,2024-06-26 18:31:00,40.0
1725,2024-06-26 18:48:00,39.0
1777,2024-06-26 19:02:00,38.0
1855,2024-06-26 19:24:00,37.0
1890,2024-06-26 19:34:00,36.0
1895,2024-06-26 19:35:00,36.0
1973,2024-06-26 20:05:00,35.0
1975,2024-06-26 20:06:00,35.0
1999,2024-06-26 20:12:00,34.0
2002,2024-06-26 20:12:00,34.0
2077,2024-06-26 20:34:00,33.0
2138,2024-06-26 20:49:00,32.0
2209,2024-06-26 21:13:00,32.0
2219,2024-06-26 21:16:00,35.0
2221,2024-06-26 21:16:00,35.0
2242,2024-06-26 21:22:00,41.0
2262,2024-06-26 21:27:00,46.0
2274,2024-06-26 21:30:00,49.0
2306,2024-06-26 21:38:00,56.0
2318,2024-06-26 21:41:00,59.0
2329,2024-06-26 21:44:00,62.0
2341,2024-06-26 21:47:00,65.0
2349,2024-06-26 21:49:00,67.0
2356,2024-06-26 21:51:00,69.0
2361,2024-06-26 21:52:00,70.0
2376,2024-06-26 21:56:00,74.0
2388,2024-06-26 21:59:00,77.0
2421,2024-06-26 22:07:00,80.0
2431,2024-06-26 22:10:00,83.0
2434,2024-06-26 22:10:00,82.0
2525,2024-06-26 22:39:00,99.0
2529,2024-06-26 22:41:00,99.0
2532,2024-06-26 22:42:00,98.0
2545,2024-06-26 22:45:00,97.0
2576,2024-06-26 22:53:00,96.0
2602,2024-06-26 23:00:00,95.0
2622,2024-06-26 23:07:00,94.0
2653,2024-06-26 23:16:00,93.0
2656,2024-06-26 23:16:00,93.0
2681,2024-06-26 23:27:00,92.0
2684,2024-06-26 23:27:00,92.0
2712,2024-06-26 23:35:00,91.0
2724,2024-06-26 23:44:00,90.0
2742,2024-06-26 23:54:00,89.0
2765,2024-06-27 00:00:00,88.0
2767,2024-06-27 00:00:00,88.0
2770,2024-06-27 00:01:00,88.0
2788,2024-06-27 00:11:00,87.0
2792,2024-06-27 00:12:00,87.0
2799,2024-06-27 00:16:00,86.0
2852,2024-06-27 00:30:00,85.0
2866,2024-06-27 00:33:00,84.0
2879,2024-06-27 00:37:00,83.0
2890,2024-06-27 00:39:00,82.0
2892,2024-06-27 00:44:00,81.0
2902,2024-06-27 00:47:00,80.0
2910,2024-06-27 00:52:00,79.0
2918,2024-06-27 00:56:00,78.0
2931,2024-06-27 00:59:00,77.0
2961,2024-06-27 01:07:00,76.0
2965,2024-06-27 01:08:00,76.0
2973,2024-06-27 01:13:00,75.0
2978,2024-06-27 01:16:00,74.0
2993,2024-06-27 01:20:00,73.0
3001,2024-06-27 01:22:00,72.0
3004,2024-06-27 01:22:00,72.0
3023,2024-06-27 01:27:00,71.0
3028,2024-06-27 01:39:00,68.0
3032,2024-06-27 01:44:00,66.0
3042,2024-06-27 01:52:00,65.0
3050,2024-06-27 01:55:00,64.0
3067,2024-06-27 02:00:00,63.0
3069,2024-06-27 02:00:00,63.0
3071,2024-06-27 02:02:00,62.0
3073,2024-06-27 02:03:00,62.0
3076,2024-06-27 02:06:00,61.0
3081,2024-06-27 02:17:00,59.0
3086,2024-06-27 02:18:00,58.0
3090,2024-06-27 02:22:00,57.0
3098,2024-06-27 02:24:00,56.0
3102,2024-06-27 02:25:00,56.0
3124,2024-06-27 03:18:00,84.0
3142,2024-06-27 03:32:00,81.0
3150,2024-06-27 03:35:00,80.0
3163,2024-06-27 03:41:00,79.0
3178,2024-06-27 03:48:00,78.0
3191,2024-06-27 03:51:00,77.0
3197,2024-06-27 03:54:00,76.0
3199,2024-06-27 03:54:00,76.0
3204,2024-06-27 04:09:00,74.0
3206,2024-06-27 04:10:00,73.0
3210,2024-06-27 04:11:00,73.0
3232,2024-06-27 04:16:00,72.0
3246,2024-06-27 04:20:00,71.0
3249,2024-06-27 04:21:00,71.0
3262,2024-06-27 04:24:00,70.0
3266,2024-06-27 04:25:00,70.0
3268,2024-06-27 04:25:00,70.0
3284,2024-06-27 04:30:00,69.0
3291,2024-06-27 04:33:00,68.0
3296,2024-06-27 04:34:00,68.0
3307,2024-06-27 04:38:00,67.0
3319,2024-06-27 04:41:00,66.0
3322,2024-06-27 04:41:00,66.0
3336,2024-06-27 04:45:00,65.0
3351,2024-06-27 04:49:00,64.0
3355,2024-06-27 04:50:00,64.0
3374,2024-06-27 04:55:00,63.0
3385,2024-06-27 04:57:00,62.0
3410,2024-06-27 05:04:00,61.0
3413,2024-06-27 05:05:00,61.0
3421,2024-06-27 05:07:00,60.0
3424,2024-06-27 05:07:00,60.0
3438,2024-06-27 05:11:00,59.0
3442,2024-06-27 05:12:00,59.0
3452,2024-06-27 05:15:00,58.0
3454,2024-06-27 05:15:00,58.0
3470,2024-06-27 05:19:00,57.0
3482,2024-06-27 05:22:00,56.0
3497,2024-06-27 05:27:00,55.0
3501,2024-06-27 05:28:00,55.0
3513,2024-06-27 05:31:00,54.0
3516,2024-06-27 05:35:00,53.0
3520,2024-06-27 05:36:00,53.0
3532,2024-06-27 05:43:00,51.0
3555,2024-06-27 05:49:00,50.0
3559,2024-06-27 05:49:00,50.0
3578,2024-06-27 05:55:00,49.0
3590,2024-06-27 05:58:00,48.0
3608,2024-06-27 06:03:00,47.0
3610,2024-06-27 06:03:00,47.0
3613,2024-06-27 06:04:00,47.0
3620,2024-06-27 06:06:00,46.0
3623,2024-06-27 06:06:00,46.0
3636,2024-06-27 06:10:00,45.0
3647,2024-06-27 06:12:00,44.0
3668,2024-06-27 06:18:00,43.0
3670,2024-06-27 06:19:00,43.0
3674,2024-06-27 06:20:00,42.0
3678,2024-06-27 06:21:00,42.0
3704,2024-06-27 06:28:00,41.0
3709,2024-06-27 06:29:00,41.0
3724,2024-06-27 06:33:00,40.0
3730,2024-06-27 06:34:00,40.0
3784,2024-06-27 06:48:00,39.0
3810,2024-06-27 06:54:00,38.0
3815,2024-06-27 06:55:00,38.0
3866,2024-06-27 14:12:00,99.0
3870,2024-06-27 14:13:00,99.0
3884,2024-06-27 14:17:00,98.0
3886,2024-06-27 14:17:00,98.0
3906,2024-06-27 14:23:00,97.0
3910,2024-06-27 14:24:00,97.0
3953,2024-06-27 14:35:00,96.0
3956,2024-06-27 14:35:00,96.0
4029,2024-06-27 14:55:00,95.0
4033,2024-06-27 14:56:00,95.0
4079,2024-06-27 15:08:00,94.0
4084,2024-06-27 15:09:00,94.0
4124,2024-06-27 15:19:00,93.0
4147,2024-06-27 15:25:00,92.0
4152,2024-06-27 15:26:00,92.0
4154,2024-06-27 15:26:00,92.0
4177,2024-06-27 15:33:00,91.0
4196,2024-06-27 15:37:00,90.0
